close,high,low,open,symbol,date,changePercent
129.41,133.6116,126.76,133.52,AAPL,04-01-2021,0
131.01,131.74,128.43,128.89,AAPL,05-01-2021,0.0124
126.6,131.0499,126.382,127.72,AAPL,06-01-2021,-0.0337
130.92,131.63,127.86,128.36,AAPL,07-01-2021,0.0341
132.05,132.63,130.23,132.43,AAPL,08-01-2021,0.0086
128.98,130.17,128.5,129.19,AAPL,11-01-2021,-0.0232
128.8,129.69,126.86,128.5,AAPL,12-01-2021,-0.0014
130.89,131.45,128.49,128.76,AAPL,13-01-2021,0.0162
128.91,131,128.76,130.8,AAPL,14-01-2021,-0.0151
127.14,130.2242,127,128.78,AAPL,15-01-2021,-0.0137
127.83,128.71,126.938,127.78,AAPL,19-01-2021,0.0054
132.03,132.49,128.55,128.66,AAPL,20-01-2021,0.0329
136.87,139.67,133.59,133.8,AAPL,21-01-2021,0.0367
139.07,139.85,135.02,136.28,AAPL,22-01-2021,0.0161
142.92,145.09,136.54,143.07,AAPL,25-01-2021,0.0277
143.16,144.3,141.37,143.6,AAPL,26-01-2021,0.0017
142.06,144.3,140.41,143.43,AAPL,27-01-2021,-0.0077
137.09,141.99,136.7,139.52,AAPL,28-01-2021,-0.035
131.96,136.74,130.21,135.83,AAPL,29-01-2021,-0.0374
134.14,135.38,130.93,133.75,AAPL,01-02-2021,0.0165
134.99,136.31,134.61,135.73,AAPL,02-02-2021,0.0063
133.94,135.77,133.61,135.76,AAPL,03-02-2021,-0.0078
137.39,137.4,134.59,136.3,AAPL,04-02-2021,0.0258
136.76,137.42,135.86,137.35,AAPL,05-02-2021,-0.0046
136.91,136.96,134.92,136.03,AAPL,08-02-2021,0.0011
136.01,137.877,135.85,136.62,AAPL,09-02-2021,-0.0066
135.39,136.99,134.4,136.48,AAPL,10-02-2021,-0.0046
135.13,136.39,133.77,135.9,AAPL,11-02-2021,-0.0019
135.37,135.53,133.6921,134.35,AAPL,12-02-2021,0.0018
133.19,136.01,132.79,135.49,AAPL,16-02-2021,-0.0161
130.84,132.22,129.47,131.25,AAPL,17-02-2021,-0.0176
129.71,129.995,127.41,129.2,AAPL,18-02-2021,-0.0086
129.87,130.71,128.8,130.24,AAPL,19-02-2021,0.0012
126,129.72,125.6,128.01,AAPL,22-02-2021,-0.0298
125.86,126.71,118.39,123.76,AAPL,23-02-2021,-0.0011
125.35,125.56,122.23,124.94,AAPL,24-02-2021,-0.0041
120.99,126.4585,120.54,124.68,AAPL,25-02-2021,-0.0348
121.26,124.85,121.2,122.59,AAPL,26-02-2021,0.0022
127.79,127.93,122.79,123.75,AAPL,01-03-2021,0.0539
125.12,128.72,125.01,128.41,AAPL,02-03-2021,-0.0209
122.06,125.71,121.84,124.81,AAPL,03-03-2021,-0.0245
120.13,123.6,118.62,121.75,AAPL,04-03-2021,-0.0158
121.42,121.935,117.57,120.98,AAPL,05-03-2021,0.0107
116.36,121,116.21,120.93,AAPL,08-03-2021,-0.0417
121.085,122.06,118.79,119.03,AAPL,09-03-2021,0.0406
119.98,122.17,119.45,121.69,AAPL,10-03-2021,-0.0091
121.96,123.21,121.26,122.54,AAPL,11-03-2021,0.0165
121.03,121.17,119.16,120.4,AAPL,12-03-2021,-0.0076
123.99,124,120.42,121.41,AAPL,15-03-2021,0.0245
125.57,127.22,124.715,125.7,AAPL,16-03-2021,0.0127
124.76,125.8599,122.336,124.05,AAPL,17-03-2021,-0.0065
120.53,123.18,120.32,122.88,AAPL,18-03-2021,-0.0339
119.99,121.43,119.675,119.9,AAPL,19-03-2021,-0.0045
123.39,123.87,120.26,120.33,AAPL,22-03-2021,0.0283
122.54,124.24,122.14,123.33,AAPL,23-03-2021,-0.0069
120.09,122.9,120.065,122.82,AAPL,24-03-2021,-0.02
120.59,121.66,119,119.54,AAPL,25-03-2021,0.0042
121.21,121.48,118.92,120.35,AAPL,26-03-2021,0.0051
121.39,122.58,120.7299,121.65,AAPL,29-03-2021,0.0015
119.9,120.4031,118.86,120.11,AAPL,30-03-2021,-0.0123
122.15,123.52,121.15,121.65,AAPL,31-03-2021,0.0188
123,124.18,122.49,123.66,AAPL,01-04-2021,0.007
125.9,126.1601,123.07,123.87,AAPL,05-04-2021,0.0236
126.21,127.13,125.65,126.5,AAPL,06-04-2021,0.0025
127.9,127.92,125.14,125.83,AAPL,07-04-2021,0.0134
130.36,130.39,128.52,128.95,AAPL,08-04-2021,0.0192
132.995,133.04,129.47,129.8,AAPL,09-04-2021,0.0202
131.24,132.85,130.63,132.52,AAPL,12-04-2021,-0.0132
134.43,134.66,131.93,132.44,AAPL,13-04-2021,0.0243
132.03,135,131.655,134.94,AAPL,14-04-2021,-0.0179
134.5,135,133.64,133.82,AAPL,15-04-2021,0.0187
134.16,134.67,133.28,134.3,AAPL,16-04-2021,-0.0025
134.84,135.47,133.34,133.51,AAPL,19-04-2021,0.0051
133.11,135.53,131.81,135.02,AAPL,20-04-2021,-0.0128
133.5,133.75,131.3001,132.36,AAPL,21-04-2021,0.0029
131.94,134.15,131.41,133.04,AAPL,22-04-2021,-0.0117
134.32,135.12,132.16,132.16,AAPL,23-04-2021,0.018
134.72,135.06,133.56,134.83,AAPL,26-04-2021,0.003
134.39,135.41,134.11,135.01,AAPL,27-04-2021,-0.0024
133.58,135.02,133.08,134.31,AAPL,28-04-2021,-0.006
133.48,137.07,132.45,136.47,AAPL,29-04-2021,-0.0007
131.46,133.56,131.065,131.78,AAPL,30-04-2021,-0.0151
132.54,134.07,131.83,132.04,AAPL,03-05-2021,0.0082
127.85,131.4899,126.7,131.19,AAPL,04-05-2021,-0.0354
128.1,130.45,127.97,129.2,AAPL,05-05-2021,0.002
129.74,129.75,127.13,127.89,AAPL,06-05-2021,0.0128
130.21,131.2582,129.475,130.85,AAPL,07-05-2021,0.0036
126.85,129.54,126.81,129.41,AAPL,10-05-2021,-0.0258
125.91,126.27,122.77,123.5,AAPL,11-05-2021,-0.0074
122.77,124.64,122.25,123.4,AAPL,12-05-2021,-0.0249
124.97,126.15,124.26,124.58,AAPL,13-05-2021,0.0179
127.45,127.89,125.85,126.25,AAPL,14-05-2021,0.0198
126.27,126.93,125.17,126.82,AAPL,17-05-2021,-0.0093
124.85,126.99,124.78,126.56,AAPL,18-05-2021,-0.0112
124.69,124.915,122.86,123.16,AAPL,19-05-2021,-0.0013
127.31,127.72,125.1,125.23,AAPL,20-05-2021,0.021
125.43,128,125.21,127.82,AAPL,21-05-2021,-0.0148
127.1,127.94,125.94,126.01,AAPL,24-05-2021,0.0133
126.9,128.32,126.32,127.82,AAPL,25-05-2021,-0.0016
126.85,127.39,126.42,126.955,AAPL,26-05-2021,-0.0004
217.69,223,214.81,222.53,MSFT,04-01-2021,0
217.9,218.52,215.7,217.26,MSFT,05-01-2021,0.001
212.25,216.4899,211.94,212.17,MSFT,06-01-2021,-0.0259
218.29,219.34,213.71,214.04,MSFT,07-01-2021,0.0285
219.62,220.58,217.0261,218.68,MSFT,08-01-2021,0.0061
217.49,218.91,216.73,218.47,MSFT,11-01-2021,-0.0097
214.93,217.1,213.3202,216.5,MSFT,12-01-2021,-0.0118
216.34,216.76,213.9266,214.02,MSFT,13-01-2021,0.0066
213.02,217.46,212.74,215.91,MSFT,14-01-2021,-0.0153
212.65,214.51,212.03,213.52,MSFT,15-01-2021,-0.0017
216.44,216.98,212.63,213.75,MSFT,19-01-2021,0.0178
224.34,225.79,217.2908,217.7,MSFT,20-01-2021,0.0365
224.97,226.3,222.42,224.7,MSFT,21-01-2021,0.0028
225.95,230.07,225.8,227.08,MSFT,22-01-2021,0.0044
229.53,229.78,224.22,229.12,MSFT,25-01-2021,0.0158
232.33,234.18,230.08,231.86,MSFT,26-01-2021,0.0122
232.9,240.44,230.14,238,MSFT,27-01-2021,0.0025
238.93,242.64,235.09,235.61,MSFT,28-01-2021,0.0259
231.96,238.02,231.35,235.99,MSFT,29-01-2021,-0.0292
239.65,242.5,232.43,235.06,MSFT,01-02-2021,0.0332
239.51,242.31,238.69,241.3,MSFT,02-02-2021,-0.0006
243,245.09,239.26,239.57,MSFT,03-02-2021,0.0146
242.01,243.2399,240.37,242.66,MSFT,04-02-2021,-0.0041
242.2,243.28,240.42,242.23,MSFT,05-02-2021,0.0008
242.47,243.68,240.81,243.15,MSFT,08-02-2021,0.0011
243.77,244.76,241.38,241.87,MSFT,09-02-2021,0.0054
242.82,245.92,240.89,245,MSFT,10-02-2021,-0.0039
244.49,245.15,242.15,244.78,MSFT,11-02-2021,0.0069
244.99,245.3,242.73,243.9332,MSFT,12-02-2021,0.002
243.7,246.13,242.92,245.03,MSFT,16-02-2021,-0.0053
244.2,244.31,240.94,241.32,MSFT,17-02-2021,0.0021
243.79,243.93,240.86,241.8,MSFT,18-02-2021,-0.0017
240.97,243.86,240.18,243.75,MSFT,19-02-2021,-0.0116
234.51,237.93,232.4,237.42,MSFT,22-02-2021,-0.0268
233.27,234.83,228.73,230.325,MSFT,23-02-2021,-0.0053
234.55,235.2,229,230.01,MSFT,24-02-2021,0.0055
228.99,234.5852,227.88,232.08,MSFT,25-02-2021,-0.0237
232.38,235.37,229.54,231.525,MSFT,26-02-2021,0.0148
236.94,237.47,233.15,235.9,MSFT,01-03-2021,0.0196
233.87,237.3,233.45,237.01,MSFT,02-03-2021,-0.013
227.56,233.5799,227.26,232.155,MSFT,03-03-2021,-0.027
226.73,232.49,224.26,226.735,MSFT,04-03-2021,-0.0036
231.6,233.27,226.46,229.5165,MSFT,05-03-2021,0.0215
227.39,233.365,227.13,231.37,MSFT,08-03-2021,-0.0182
233.78,235.3839,231.67,232.88,MSFT,09-03-2021,0.0281
232.42,237,232.04,237,MSFT,10-03-2021,-0.0058
237.13,239.17,234.31,234.96,MSFT,11-03-2021,0.0203
235.75,235.82,233.23,234.01,MSFT,12-03-2021,-0.0058
234.81,235.185,231.81,234.96,MSFT,15-03-2021,-0.004
